video_id,comment_id,author,text,like_count,published_at
ZhhUwFf85Rg,Ugy57dik4_UmfCQbfqV4AaABAg,Doctor Tristan Peh,Junya brings entertainment to another level! He is so so so GOOD! 🎉🎉🎉🎉🎉🎉,5,2023-11-07T14:32:45Z
ptdwGIKGFu8,UgzR76cWfMXg3vLweY94AaABAg,Fern Elman,皆様のご尽力に本当に感謝しており、心から感謝しています。👀,10,2023-11-07T12:32:00Z
mTLVR3DScDk,UgzhEG43BIC1uxkEkPp4AaABAg,Baby_sonic_iscute,THIS MAN NEEDS MENTAL HELP 💀💀,6,2023-11-07T16:52:31Z
3DDQJNFXFyY,Ugwny7kveIUZNEV4DMt4AaABAg,Jung Legend (Jung1gou)™,Chupapimonhanho 😂🎉❤. Junya crazy but funny. Im too 😅,3,2023-11-07T12:03:02Z
cif5kmV-85g,Ugzh7j3RXD8uFxuVx2x4AaABAg,Luna seno,Him:honey I need to go to work<br>His work:-,2,2023-11-07T21:08:33Z
5r7k0cZoTKY,Ugx_FHZNS1g5kHVlUPB4AaABAg,keluarga sederhana,Sangat menghibur. Ikutan ketawa 😂,4,2023-11-07T10:54:38Z
-Athtc6uLfQ,Ugy7njSiDNsd9NiEIWl4AaABAg,Alistory,Bro this critter is fucking wild,2,2023-11-07T13:52:07Z
i8Ln6HQZbog,Ugz0G0x8hnsOny1r99l4AaABAg,CRAZY MONSTERS,Fantastic 😂😂😂,6,2023-11-07T09:12:16Z
Y38G_Xki-fo,Ugz5zAEAi5hRfIar_654AaABAg,FrM_[GHOST-WALKER]™,This man knows what that he is doing well 😂❤❤❤,3,2023-11-07T15:45:09Z
Oh0u413lE7A,Ugzyt5BuR83chawgQul4AaABAg,Jung Legend (Jung1gou)™,OMG. Very funny 😂❤😊,1,2023-11-07T08:01:36Z
5puX_BVuVAA,UgxIUSVru67FQPbXF5Z4AaABAg,Stats Today,"From a bro to a father, Pewds has come in a long way!",6953,2023-11-07T17:17:31Z
n62M2pd0-p8,UgwOgPfvtbMY2WG_Ild4AaABAg,Almog S G,"Gonna be honest, I feel like Pewds and Ken together are the most intense definitions of dads.",13672,2023-10-27T17:31:14Z
L0zminwWyxI,Ugx3-61ARpXdwgKKe094AaABAg,Just Jake,How times have changed. This whole channel in 20 years is something great to look upon. Congrats Felix you deserve it,7151,2023-10-12T17:04:57Z
CZy5pwKdMuo,UgxFtIxA1cRwbEYUMlp4AaABAg,ItsFrankyBoi,Bjorn is gonna be running around in the vlogs soon 😂,38037,2023-10-04T17:19:34Z
ZFAuSU_XaZI,UgzkCBT2oHP2YpHyLCp4AaABAg,fraola,Pewds holding his baby to tempt us into watching the ad is definitely working😭😭,9980,2023-09-30T17:31:08Z
sK37SolFV8I,UgwVR6l97-W4sI6iSJ54AaABAg,Beesechurger_73,Pewds calling us a baby while holding a baby is very gigachad.,9763,2023-09-22T17:11:29Z
_sPXXL9YXok,Ugx1k3Ugug_PzP_raEx4AaABAg,Vindooly,It&#39;s great to see you doing so well Felix! 😊,15608,2023-09-15T16:13:10Z
bsrKZCf_tMU,UgxZ9R9lY-qybATZvol4AaABAg,CinnamonToastKen,Dad jokes hit different now,24592,2023-09-10T21:34:30Z
XBjfAEM4CPA,Ugx8a4Y3tLwq-hfddWB4AaABAg,iGameApple,Youtube should give him the play button for the best dad of the year.,27049,2023-08-30T17:28:00Z
tKOlGCqDowQ,Ugz5Rl_wD93uhIBPXV94AaABAg,CinnamonToastKen,Good job dad,133617,2023-08-12T00:51:29Z
